,actvalue,builtvalue,commvalue,entvalue,accvalue,offvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-03-17 20:00:00,0.08694570135746608,25.49334693877551,84.69930000000001,5.019,,45.18600000000001,54.256,,31.162,,17.082,1.0,0.2,1.0,149.298866669337,,7.0
2014-03-18 20:00:00,0.21832579185520357,9.684090909090909,155.62566666666666,,,,,,63.39,,,1.0,0.2,1.2,243.9602499604225,,7.4
2014-03-19 20:00:00,0.0,,,,,,,,,,,,0.6,1.2,,1.0,7.2
2014-03-20 20:00:00,0.014880952380952375,38.039781250000004,91.75490909090908,,,,7.064,,,,,1.0,0.4,0.8,117.58131247758868,,6.8
2014-03-21 20:00:00,0.12081499266373208,21.806523809523807,22.7346,,,3.01,14.611500000000001,,,,,1.0,-0.6,1.0,50.33575002352393,,7.2
2014-03-22 20:00:00,0.1182513139034879,7.3977499999999985,522.7180000000002,,,,10.102,,,,,,0.6,1.0,187.48066671689364,,7.0
2014-03-23 20:00:00,0.0,23.52518181818182,12.735666666666667,,,21.464,8.046,,,,,,0.6,0.8,54.4324999650319,,7.0
2014-03-24 20:00:00,0.0043103448275862,27.726150000000008,98.90422222222223,,,,,,,,,,0.8,1.0,180.60012504458425,,7.0
2014-03-25 20:00:00,0.2916666666666668,12.671772727272726,107.15783333333333,,,,10.714666666666666,,62.299,,,1.0,1.4,0.8,232.63123072110696,1.0,7.2
2014-03-26 20:00:00,0.048611111111111195,18.395722222222226,142.10033333333334,,,,91.008,,,,,1.0,1.0,1.0,384.98580002784706,,7.0
2014-03-27 20:00:00,0.0456349206349206,35.0984705882353,115.48755555555555,,,,7.021,,,,16.076333333333334,1.0,1.4,1.0,158.31449999809257,,7.0
2014-03-28 20:00:00,0.32595238095238105,12.2675,3.016,,,9.039,10.032,49.613,,,,1.0,-1.2,0.8,48.67549991607666,,7.2
2014-03-29 20:00:00,0.2078571428571429,22.66534615384616,65.1936,,,,,155.97899999999996,,,,1.0,-0.6,1.0,118.95388894610937,,7.4
2014-03-30 20:00:00,0.0,,,,,,,,,,,1.0,-0.2,1.0,,1.0,7.0
2014-03-31 20:00:00,0.27182539682539664,12.537304347826087,56.5246923076923,,,,,,,,,1.0,0.6,1.0,96.23187500238421,1.0,7.2
2014-04-01 20:00:00,0.240740740740741,12.562500000000002,56.963,,,,8.031,14.121,,,,1.0,0.8,1.0,88.87683327992757,1.0,7.2
2014-04-02 20:00:00,0.011904761904761899,9.574666666666666,147.53228571428573,,,9.064,,,,,,1.0,0.6,1.0,282.01150006055815,,7.4
2014-04-03 20:00:00,0.18610491071428573,13.545800000000003,37.182,,,,,189.013,,,,1.0,0.6,1.0,37.11599998474123,,7.2
2014-04-04 20:00:00,0.03624078624078625,40.38150000000001,39.7065,,,,,47.184,,,,1.0,1.0,1.0,122.99100009600336,,7.6
2014-04-05 20:00:00,0.14144736842105263,17.91142857142857,28.318571428571428,,,,,,,,,1.0,0.0,0.2,64.16571433203548,1.0,6.6
2014-04-06 20:00:00,0.14772727272727249,3.9212857142857147,51.729285714285716,,,,8.119,,,,,1.0,0.4,0.2,56.821142843791414,1.0,6.6
2014-04-07 20:00:00,0.03289473684210525,7.017666666666666,88.57700000000001,,,,10.079,,,,,1.0,0.0,0.6,119.762000083923,1.0,6.8
2014-04-08 20:00:00,0.0131578947368421,,,,,,,,,,,1.0,0.0,1.0,,,7.0
2014-04-09 20:00:00,0.00657894736842105,24.730222222222224,48.61280000000001,,,,,,,,,,0.4,,162.06675004959098,,7.0
2014-04-10 20:00:00,,,,,,,,,,,,1.0,0.4,0.8,,,7.2
2014-04-11 20:00:00,0.08175223214285712,34.496730769230766,109.911,414.577,,,11.077,427.776,,,,1.0,1.0,1.0,246.6393332878749,1.0,7.4
2014-04-12 20:00:00,0.0,,,,,,,,,,,1.0,1.75,1.0,,1.0,7.0
