,actvalue,builtvalue,commvalue,entvalue,accvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-03-22 14:00:00,0.005787037037037032,14.935500000000003,16.788958333333333,,,14.5595,3.013,,214.21900000000005,,,1.0,0.6,48.916093759238734,,7.4
2014-03-23 14:00:00,0.06392592592592593,9.331666666666665,28.910961538461535,80.958,,13.158400000000004,60.63166666666666,,22.147,,,0.4,0.8,27.458451609457658,1.0,7.6
2014-03-24 14:00:00,0.05782051282051284,13.441384615384614,52.491749999999996,49.328,,14.054,36.87433333333333,,482.344,14.771499999999998,,-0.25,0.0,69.8318043377089,,6.5
2014-03-25 14:00:00,0.04067408781694495,25.30442105263158,11.984846153846156,95.90525,,16.315625,44.78977777777778,,42.39620000000001,,,-0.6,-0.4,74.94538710963347,,6.0
2014-03-26 14:00:00,0.0,,,124.507,,9.116375000000001,,,,,,0.6,0.8,11.532777759763931,,7.0
2014-03-27 14:00:00,0.04750000000000001,17.593076923076925,23.010799999999996,8.874400000000001,,,13.19347368421053,,,,,0.0,0.3333333333333333,43.57658622182651,,7.0
2014-03-28 14:00:00,0.12380952380952381,28.261499999999998,13.811200000000003,,,17.3465,,,,,1.0,0.8,0.4,48.762695644212805,,6.4
2014-03-29 14:00:00,0.2062085355987055,8.903,32.89271428571429,,,12.224599999999999,40.93275000000001,,164.22020000000003,,1.0,1.0,1.0,46.72645001411439,1.0,7.6
2014-03-30 14:00:00,,,,,,,,,,,1.0,1.0,1.0,,1.0,7.333333333333333
2014-03-31 14:00:00,0.004166666666666667,29.641,5.17725,,,,,,,,,0.5,0.5,10.069199943542474,1.0,6.6
2014-04-01 14:00:00,0.008333333333333331,21.09088888888889,38.704,,,,97.44825,,,,,0.0,0.0,81.05125001072886,,6.5
2014-04-02 14:00:00,0.0766666666666667,10.633032258064517,22.795000000000005,37.195499999999996,,18.118,66.584,46.717000000000006,,,1.0,0.0,0.25,74.01445457068363,,6.5
2014-04-03 14:00:00,0.09073464912280707,14.419333333333332,,,,11.387,,,,,,1.0,1.0,18.217666625976566,,7.0
2014-04-04 14:00:00,0.019444444444444438,10.192750000000002,17.88993023255814,,9.424875,7.820318181818181,72.8066,,,,,0.6,0.6,30.744374987151893,,7.0
2014-04-05 14:00:00,0.09946531431706424,6.4504375,15.087533333333335,13.85266666666667,,4.6706,142.797,,,,1.0,0.6666666666666666,0.8333333333333334,36.40888462616848,,7.0
2014-04-06 14:00:00,0.06100679844698986,6.269416666666667,30.121698113207547,77.365,,,124.19328571428572,,,,1.0,0.6,0.8,68.90647367427222,1.0,7.0
2014-04-07 14:00:00,0.003367003367003367,11.037333333333331,,,,,4.024,,,,,0.25,0.75,120.39299998283389,1.0,6.75
2014-04-08 14:00:00,0.0672348484848485,11.462555555555555,25.63328571428571,33.6655,,22.1115,60.510714285714286,,,,,0.6,1.0,83.3902000188828,1.0,7.6
2014-04-09 14:00:00,0.043671701205947815,10.445850000000002,19.549642857142857,29.6804,,,39.9521875,,,,,0.5,0.75,40.32353844092442,1.0,7.25
2014-04-10 14:00:00,0.027513227513227514,5.524666666666666,42.909181818181814,17.955000000000002,,10.035,55.06320000000001,,,,,0.0,0.5,66.44530769494865,1.0,7.0
2014-04-11 14:00:00,0.07376543209876542,18.195222222222228,35.49695348837209,,29.615,29.040666666666667,,,,,1.0,0.25,0.75,34.488211535490464,,7.5
2014-04-12 14:00:00,0.008049169859514682,6.089545454545456,39.753791666666665,,20.077,5.11142857142857,35.07066666666667,,,,1.0,0.2,0.6,77.76400000254323,1.0,6.8
2014-04-13 14:00:00,0.005,,,,,,,,,,,0.0,0.6,,1.0,6.8
2014-04-14 14:00:00,0.20659722222222227,5.9782222222222225,6.474857142857142,,,14.144,,,,,,0.0,0.2,10.308545481074937,1.0,6.6
2014-04-15 14:00:00,0.03211805555555556,8.405,18.8029,24.137,,5.638,13.5541,,,,,0.4,0.6,21.34414284569877,1.0,7.2
2014-04-16 14:00:00,0.0018796992481203,,,,,,,,,,,0.0,0.75,,1.0,6.75
2014-04-17 14:00:00,0.014004629629629626,13.939590909090912,23.80895,32.777,,,46.31471428571429,,19.59,,,-0.2,0.2,58.92841379395848,,6.6
2014-04-18 14:00:00,0.00925925925925925,13.138833333333332,,,,,5.1235,,,,,-0.2,0.8,12.731428521020067,,7.2
2014-04-19 14:00:00,0.08357634454377758,9.31575,27.72030769230769,,,8.39788888888889,35.379,,3.01,,,0.0,0.5,29.489222237357385,,7.0
2014-04-20 14:00:00,0.1208333333333333,22.526,11.630818181818183,,,34.266,4.4510000000000005,,,,1.0,-0.8,0.8,19.64707142114639,,7.4
2014-04-21 14:00:00,0.14063958916900088,24.081,17.265818181818187,14.783,,14.048,107.42610000000002,,,,,0.8,0.8,31.171789508116866,1.0,7.6
2014-04-22 14:00:00,0.054166666666666724,4.077999999999999,10.1179,12.065,,12.05,41.575,,,,,-0.5,-0.25,17.664277752240498,,6.0
2014-04-23 14:00:00,0.011029411764705874,25.523000000000003,15.7215,,,116.32199999999999,,,,,1.0,-0.25,0.5,85.66533331076305,1.0,7.0
2014-04-24 14:00:00,0.04037182714205368,50.09022222222222,14.141027777777778,18.939,,5.82,23.856333333333335,,,,,0.0,0.25,32.68445717947824,,7.0
2014-04-25 14:00:00,0.0625,12.982000000000001,34.531560000000006,122.576,,15.532333333333334,38.4079,,,,1.0,0.5,0.5,42.187189192385276,,7.5
2014-04-26 14:00:00,0.023425925925925916,6.257793103448277,13.854666666666668,,,28.103,126.0955,,,,,0.4,0.4,33.35606123963182,1.0,6.8
2014-04-27 14:00:00,0.014776546982429339,10.925375,13.332551020408163,46.462,,24.0265,67.1665,,59.635,,,-0.2,0.0,38.48127450195012,,6.8
2014-04-28 14:00:00,0.08130208333333334,13.262722222222221,42.48333333333335,20.923666666666666,,8.025,29.13366666666667,,,,,0.2,0.4,81.77894732826637,,6.8
