,,label,acc_x,acc_y,acc_z,labelDownstairs,labelJogging,labelSitting,labelStanding,labelUpstairs,labelWalking
0,1970-01-01 08:13:21.082292000,Walking,1.04,9.0,0.69,0,0,0,0,0,1
1,1970-01-01 08:13:22.032310000,Walking,0.8,9.47,1.38,0,0,0,0,0,1
2,1970-01-01 08:13:22.092339000,Walking,0.15,9.38,1.08,0,0,0,0,0,1
3,1970-01-01 08:13:23.042296000,Walking,1.04,8.73,1.33,0,0,0,0,0,1
4,1970-01-01 08:13:23.092345000,Walking,0.57,10.31,1.73,0,0,0,0,0,1
5,1970-01-01 08:13:24.042393000,Walking,2.34,9.7,2.83,0,0,0,0,0,1
6,1970-01-01 08:13:24.092290000,Walking,-2.41,8.77,-1.99,0,0,0,0,0,1
7,1970-01-01 08:13:25.042308000,Walking,0.34,11.41,-2.14,0,0,0,0,0,1
8,1970-01-01 08:13:25.042308000,Walking,0.34,11.41,-2.14,0,0,0,0,0,1
9,1970-01-01 08:13:25.097697000,Walking,0.76,10.34,-3.36,0,0,0,0,0,1
10,1970-01-01 08:13:26.072313000,Walking,3.76,8.77,-3.83,0,0,0,0,0,1
11,1970-01-01 08:13:27.022636000,Walking,1.54,9.85,-1.18,0,0,0,0,0,1
12,1970-01-01 08:13:27.072319000,Walking,3.99,9.28,-3.34,0,0,0,0,0,1
13,1970-01-01 08:13:28.022307000,Walking,2.34,9.77,-2.49,0,0,0,0,0,1
14,1970-01-01 08:13:28.072417000,Walking,2.37,9.72,-3.41,0,0,0,0,0,1
15,1970-01-01 08:13:29.032628000,Walking,1.61,9.62,-3.06,0,0,0,0,0,1
16,1970-01-01 08:13:29.094579000,Walking,0.93,9.23,-3.72,0,0,0,0,0,1
17,1970-01-01 08:13:29.094579000,Walking,0.93,9.23,-3.72,0,0,0,0,0,1
18,1970-01-01 08:13:30.052318000,Walking,3.21,9.96,-5.05,0,0,0,0,0,1
19,1970-01-01 08:13:31.002336000,Walking,1.76,10.84,-1.76,0,0,0,0,0,1
20,1970-01-01 08:13:31.052324000,Walking,2.83,10.42,-3.45,0,0,0,0,0,1
21,1970-01-01 08:13:32.002342000,Walking,5.75,11.07,-3.53,0,0,0,0,0,1
22,1970-01-01 08:13:32.052330000,Walking,7.67,12.41,-1.38,0,0,0,0,0,1
23,1970-01-01 08:13:33.002348000,Walking,1.27,10.88,2.76,0,0,0,0,0,1
24,1970-01-01 08:13:33.052336000,Walking,-3.21,14.37,-1.18,0,0,0,0,0,1
25,1970-01-01 08:13:34.002324000,Walking,-1.31,13.38,-4.21,0,0,0,0,0,1
26,1970-01-01 08:13:34.052403000,Walking,2.76,10.08,-2.72,0,0,0,0,0,1
27,1970-01-01 08:13:35.002330000,Walking,2.49,6.93,-2.83,0,0,0,0,0,1
28,1970-01-01 08:13:35.052348000,Walking,1.04,6.55,-2.56,0,0,0,0,0,1
29,1970-01-01 08:13:36.011064000,Walking,-0.65,5.52,-2.53,0,0,0,0,0,1
30,1970-01-01 08:13:36.093034000,Walking,0.84,9.43,4.52,0,0,0,0,0,1
31,1970-01-01 08:13:37.043022000,Walking,10.99,12.03,6.28,0,0,0,0,0,1
32,1970-01-01 08:13:37.092278000,Walking,3.99,8.54,2.22,0,0,0,0,0,1
33,1970-01-01 08:13:38.042326000,Walking,2.64,15.21,0.11,0,0,0,0,0,1
34,1970-01-01 08:13:38.092253000,Walking,-6.59,11.03,-0.23,0,0,0,0,0,1
35,1970-01-01 08:13:39.042271000,Walking,-1.61,11.5,-8.69,0,0,0,0,0,1
36,1970-01-01 08:13:39.092320000,Walking,7.27,9.7,-2.79,0,0,0,0,0,1
37,1970-01-01 08:13:40.042308000,Walking,-0.08,9.58,-1.95,0,0,0,0,0,1
38,1970-01-01 08:13:40.092265000,Walking,1.69,9.58,-0.3,0,0,0,0,0,1
39,1970-01-01 08:13:41.042314000,Walking,6.36,8.81,-1.76,0,0,0,0,0,1
40,1970-01-01 08:13:41.092332000,Walking,7.59,8.73,-1.53,0,0,0,0,0,1
41,1970-01-01 08:13:42.042320000,Walking,3.95,8.54,-0.34,0,0,0,0,0,1
42,1970-01-01 08:13:42.092369000,Walking,3.83,8.35,-0.57,0,0,0,0,0,1
43,1970-01-01 08:13:43.042265000,Walking,3.79,8.39,-1.31,0,0,0,0,0,1
44,1970-01-01 08:13:43.092314000,Walking,3.11,9.19,-0.23,0,0,0,0,0,1
45,1970-01-01 08:13:44.042302000,Walking,2.45,8.58,-1.31,0,0,0,0,0,1
46,1970-01-01 08:13:44.092290000,Walking,2.6,8.31,-1.8,0,0,0,0,0,1
47,1970-01-01 08:13:45.042308000,Walking,2.96,8.28,-1.33,0,0,0,0,0,1
48,1970-01-01 08:13:45.092296000,Walking,5.41,7.93,-0.27,0,0,0,0,0,1
49,1970-01-01 08:13:46.042345000,Walking,5.18,9.92,1.14,0,0,0,0,0,1
50,1970-01-01 08:13:46.092302000,Walking,0.69,18.43,0.11,0,0,0,0,0,1
51,1970-01-01 08:13:47.042290000,Walking,-2.6,16.02,-0.46,0,0,0,0,0,1
52,1970-01-01 08:13:47.092308000,Walking,2.87,14.33,2.18,0,0,0,0,0,1
53,1970-01-01 08:13:48.042296000,Walking,2.76,10.8,-0.11,0,0,0,0,0,1
54,1970-01-01 08:13:48.092314000,Walking,1.92,7.89,-2.72,0,0,0,0,0,1
55,1970-01-01 08:13:49.042302000,Walking,-2.6,7.01,-1.23,0,0,0,0,0,1
56,1970-01-01 08:13:49.092290000,Walking,-4.56,5.48,0.61,0,0,0,0,0,1
57,1970-01-01 08:13:50.042308000,Walking,-4.71,4.37,2.3,0,0,0,0,0,1
58,1970-01-01 08:13:50.092296000,Walking,0.15,4.75,2.83,0,0,0,0,0,1
59,1970-01-01 08:13:51.042314000,Walking,6.32,6.4,1.08,0,0,0,0,0,1
60,1970-01-01 08:13:51.092332000,Walking,5.24,8.43,2.76,0,0,0,0,0,1
61,1970-01-01 08:13:52.042290000,Walking,-0.91,8.69,6.51,0,0,0,0,0,1
62,1970-01-01 08:13:52.092308000,Walking,-0.91,8.69,6.51,0,0,0,0,0,1
63,1970-01-01 08:13:53.042265000,Walking,1.23,7.06,5.01,0,0,0,0,0,1
64,1970-01-01 08:13:53.092223000,Walking,6.89,17.08,-0.95,0,0,0,0,0,1
65,1970-01-01 08:13:54.042332000,Walking,-6.63,12.53,-6.13,0,0,0,0,0,1
66,1970-01-01 08:13:54.092290000,Walking,6.66,13.4,-9.62,0,0,0,0,0,1
67,1970-01-01 08:13:55.042308000,Walking,1.69,12.26,1.65,0,0,0,0,0,1
68,1970-01-01 08:13:55.092296000,Walking,-1.57,9.23,0.99,0,0,0,0,0,1
69,1970-01-01 08:13:56.042314000,Walking,3.26,7.31,1.95,0,0,0,0,0,1
70,1970-01-01 08:13:56.092332000,Walking,7.86,4.79,-0.34,0,0,0,0,0,1
71,1970-01-01 08:13:57.042290000,Walking,3.41,6.28,-1.33,0,0,0,0,0,1
72,1970-01-01 08:13:57.092308000,Walking,5.33,5.9,-1.12,0,0,0,0,0,1
73,1970-01-01 08:13:58.042296000,Walking,4.52,9.47,2.56,0,0,0,0,0,1
74,1970-01-01 08:13:58.092314000,Walking,5.37,11.75,5.75,0,0,0,0,0,1
75,1970-01-01 08:13:59.042302000,Walking,4.44,18.89,-0.5,0,0,0,0,0,1
76,1970-01-01 08:13:59.092259000,Walking,-1.84,15.32,-2.6,0,0,0,0,0,1
77,1970-01-01 08:14:00.042308000,Walking,1.84,16.4,1.84,0,0,0,0,0,1
78,1970-01-01 08:14:00.092296000,Walking,3.99,7.06,-1.31,0,0,0,0,0,1
79,1970-01-01 08:14:01.042314000,Walking,-1.33,2.45,-3.11,0,0,0,0,0,1
80,1970-01-01 08:14:01.092332000,Walking,-2.83,0.69,-3.21,0,0,0,0,0,1
81,1970-01-01 08:14:02.042290000,Walking,-2.14,1.76,-1.73,0,0,0,0,0,1
82,1970-01-01 08:14:02.092308000,Walking,0.19,7.44,4.18,0,0,0,0,0,1
83,1970-01-01 08:14:03.042296000,Walking,3.83,13.18,10.0,0,0,0,0,0,1
84,1970-01-01 08:14:03.092314000,Walking,1.57,9.96,8.28,0,0,0,0,0,1
85,1970-01-01 08:14:04.042302000,Walking,6.28,16.97,2.11,0,0,0,0,0,1
86,1970-01-01 08:14:04.092290000,Walking,-8.81,11.56,-8.69,0,0,0,0,0,1
87,1970-01-01 08:14:05.042308000,Walking,4.79,13.99,-6.82,0,0,0,0,0,1
88,1970-01-01 08:14:05.092296000,Walking,5.37,10.95,-0.42,0,0,0,0,0,1
