,date_time,label,acc_x,acc_y,acc_z,labelDownstairs,labelJogging,labelSitting,labelStanding,labelUpstairs,labelWalking,pca_1,pca_2,pca_3
1970-01-01 00:00:00.000000000,1970-01-01 08:13:21.082292,Walking,1.1343750643452548,8.936770848981883,0.7433815216236445,0,0,0,0,0,1,-0.12333560153281983,0.14310577863977456,0.043971776389837826
1970-01-01 00:00:00.000000001,1970-01-01 08:13:22.032310,Walking,0.992586524071584,9.072319543058825,0.5869226841764243,0,0,0,0,0,1,-0.1261255685440074,0.1325133671688672,0.04747664791711085
1970-01-01 00:00:00.000000002,1970-01-01 08:13:22.092339,Walking,0.8577704871540186,9.215459348900836,0.4129492228144967,0,0,0,0,0,1,-0.1288742448757229,0.12095675449054674,0.05142633191809064
1970-01-01 00:00:00.000000003,1970-01-01 08:13:23.042296,Walking,0.7454648629906973,9.36052674991562,0.2099458827857752,0,0,0,0,0,1,-0.13102832007088655,0.1080754415164462,0.056096612430432534
1970-01-01 00:00:00.000000004,1970-01-01 08:13:23.092345,Walking,0.6693374891030668,9.501237839377396,-0.030739746698500395,0,0,0,0,0,1,-0.13209972207726348,0.0936865988786228,0.06177741659819938
1970-01-01 00:00:00.000000005,1970-01-01 08:13:24.042393,Walking,0.6400823813209834,9.631398301640427,-0.31389884258534617,0,0,0,0,0,1,-0.13166708697565094,0.07773664013156453,0.06857250881107903
1970-01-01 00:00:00.000000006,1970-01-01 08:13:24.092290,Walking,0.6645815649500416,9.745606004709328,-0.639792327161661,0,0,0,0,0,1,-0.12948087444637255,0.060383032424921844,0.07655217300639042
1970-01-01 00:00:00.000000007,1970-01-01 08:13:25.042308,Walking,0.7453951873623148,9.839866164060535,-1.0038746643871324,0,0,0,0,0,1,-0.1254430947481359,0.041916707934138424,0.08557091844918897
1970-01-01 00:00:00.000000008,1970-01-01 08:13:25.042308,Walking,0.8806120125518468,9.912050897953108,-1.3969393204179101,0,0,0,0,0,1,-0.11968225152443628,0.022815861620998152,0.09544356258306945
1970-01-01 00:00:00.000000009,1970-01-01 08:13:25.097697,Walking,1.0640604105795664,9.962153704083853,-1.805677384920257,0,0,0,0,0,1,-0.11250174478093697,0.0036491201158629443,0.10580251242214239
1970-01-01 00:00:00.000000010,1970-01-01 08:13:26.072313,Walking,1.2858496131879822,9.992312568025602,-2.213604293400617,0,0,0,0,0,1,-0.10438261153154324,-0.014935238946097381,0.11619354161112988
