,acc_phone_x,acc_phone_y,acc_phone_z,prox_phone_distance,labelonLaptop,labelonTable,labelwalking
2020-06-05 11:40:00.000009984,0.002232564524165441,0.5551076483774787,9.853762931756352,8.0,1,0,0
2020-06-05 11:40:00.250009984,,,,,1,0,0
2020-06-05 11:40:00.500009984,,,,,1,0,0
2020-06-05 11:40:00.750009984,,,,,1,0,0
2020-06-05 11:40:01.000009984,,,,,1,0,0
2020-06-05 11:40:01.250009984,,,,,1,0,0
2020-06-05 11:40:01.500009984,,,,,1,0,0
2020-06-05 11:40:01.750009984,,,,,1,0,0
2020-06-05 11:40:02.000009984,,,,,1,0,0
2020-06-05 11:40:02.250009984,,,,,1,0,0
2020-06-05 11:40:02.500009984,,,,,1,0,0
2020-06-05 11:40:02.750009984,,,,,1,0,0
2020-06-05 11:40:03.000009984,,,,,1,0,0
2020-06-05 11:40:03.250009984,,,,,1,0,0
2020-06-05 11:40:03.500009984,,,,,1,0,0
2020-06-05 11:40:03.750009984,,,,,1,0,0
2020-06-05 11:40:04.000009984,,,,,1,0,0
2020-06-05 11:40:04.250009984,,,,,1,0,0
2020-06-05 11:40:04.500009984,,,,,1,0,0
2020-06-05 11:40:04.750009984,,,,,1,0,0
2020-06-05 11:40:05.000009984,,,,,1,0,0
2020-06-05 11:40:05.250009984,,,,,1,0,0
2020-06-05 11:40:05.500009984,,,,,1,0,0
2020-06-05 11:40:05.750009984,,,,,1,0,0
2020-06-05 11:40:06.000009984,,,,,1,0,0
2020-06-05 11:40:06.250009984,,,,,1,0,0
2020-06-05 11:40:06.500009984,,,,,1,0,0
2020-06-05 11:40:06.750009984,,,,,1,0,0
2020-06-05 11:40:07.000009984,,,,,1,0,0
2020-06-05 11:40:07.250009984,,,,,1,0,0
2020-06-05 11:40:07.500009984,,,,,1,0,0
2020-06-05 11:40:07.750009984,,,,,1,0,0
2020-06-05 11:40:08.000009984,,,,,1,0,0
2020-06-05 11:40:08.250009984,,,,,1,0,0
2020-06-05 11:40:08.500009984,,,,,1,0,0
2020-06-05 11:40:08.750009984,,,,,1,0,0
2020-06-05 11:40:09.000009984,,,,,1,0,0
2020-06-05 11:40:09.250009984,,,,,1,0,0
2020-06-05 11:40:09.500009984,,,,,1,0,0
2020-06-05 11:40:09.750009984,,,,,1,0,0
2020-06-05 11:40:10.000009984,,,,,1,0,0
2020-06-05 11:40:10.250009984,,,,,1,0,0
2020-06-05 11:40:10.500009984,,,,,1,0,0
2020-06-05 11:40:10.750009984,,,,,1,0,0
2020-06-05 11:40:11.000009984,,,,,1,0,0
2020-06-05 11:40:11.250009984,,,,,1,0,0
2020-06-05 11:40:11.500009984,,,,,1,0,0
2020-06-05 11:40:11.750009984,,,,,1,0,0
2020-06-05 11:40:12.000009984,,,,,1,0,0
2020-06-05 11:40:12.250009984,,,,,1,0,0
2020-06-05 11:40:12.500009984,,,,,1,0,0
2020-06-05 11:40:12.750009984,,,,,1,0,0
2020-06-05 11:40:13.000009984,,,,,1,0,0
2020-06-05 11:40:13.250009984,,,,,1,0,0
2020-06-05 11:40:13.500009984,,,,,1,0,0
