,acc_phone_x,acc_phone_y,acc_phone_z,prox_phone_distance,gyr_phone_x,gyr_phone_y,gyr_phone_z,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,labelelevator,labelonTable,labelstanding,labelwalking
2020-06-05 13:11:27.000,-0.05866328108234973,-0.04085831626591049,9.818190070941908,8.0,0.001221723042628108,-0.0014855919700985556,0.0034006085155361345,967.1428571428571,-37.31818287128153,5.934550817039354,-61.75416614217961,1005.7200619393939,0,1,0,0
2020-06-05 13:11:27.250,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:27.500,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:27.750,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:28.000,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:28.250,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:28.500,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:28.750,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:29.000,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:29.250,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:29.500,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:29.750,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:30.000,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:30.250,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:30.500,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:30.750,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:31.000,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:31.250,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:31.500,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:31.750,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:32.000,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:32.250,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:32.500,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:32.750,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:33.000,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:33.250,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:33.500,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:33.750,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:34.000,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:34.250,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:34.500,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:34.750,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:35.000,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:35.250,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:35.500,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:35.750,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:36.000,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:36.250,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:36.500,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:36.750,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:37.000,,,,,,,,,,,,,0,1,0,0
2020-06-05 13:11:37.250,,,,,,,,,,,,,0,0,0,0
