,time,value
700420,2014-03-21 10:26:32.581,4.012
700421,2014-03-21 10:26:36.594,8.157
700422,2014-03-21 10:26:44.757,6.027
700779,2014-03-21 21:38:12.762,4.007
700780,2014-03-21 21:38:16.769,8.082
700781,2014-03-21 21:38:24.852,14.158
700783,2014-03-21 21:38:41.017,3.094
700784,2014-03-21 21:38:44.117,2.0069999999999997
700798,2014-03-22 09:13:59.115,7.024
700799,2014-03-22 09:14:06.141,8.025
700800,2014-03-22 09:14:14.167,6.027
701230,2014-03-23 23:54:11.352,23.201
701232,2014-03-23 23:54:35.573,3.0060000000000002
701233,2014-03-23 23:54:38.581,9.17
701234,2014-03-23 23:54:47.757,8.026
701411,2014-03-24 11:49:27.821,4.008
701412,2014-03-24 11:49:31.829,6.018
701413,2014-03-24 11:49:37.858,5.019
701514,2014-03-24 16:42:12.447,4.011
701515,2014-03-24 16:42:16.460,8.025
701516,2014-03-24 16:42:24.484,7.025
701900,2014-03-25 20:50:06.900,4.0089999999999995
701901,2014-03-25 20:50:10.914,15.055
701902,2014-03-25 20:50:25.970,20.98
701903,2014-03-25 20:51:34.693,3.01
702144,2014-03-26 12:37:18.519,5.125
702145,2014-03-26 12:37:23.645,11.038
702146,2014-03-26 12:37:34.684,4.012
702292,2014-03-26 21:08:27.187,4.035
702293,2014-03-26 21:08:31.226,8.023
702294,2014-03-26 21:08:39.253,20.098
702671,2014-03-27 19:01:11.236,7.02
702672,2014-03-27 19:01:18.256,13.036
702673,2014-03-27 19:01:31.293,22.163
702761,2014-03-28 00:15:58.984,5.013
702762,2014-03-28 00:16:04.003,15.034
702763,2014-03-28 00:16:19.039,15.775
702915,2014-03-28 18:15:11.434,6.031000000000001
702916,2014-03-28 18:15:17.467,20.212
702917,2014-03-28 18:15:37.681,22.090999999999998
702918,2014-03-28 18:15:59.773,5.01
703409,2014-03-31 17:38:51.404,8.841000000000001
703410,2014-03-31 17:39:17.516,1.203
703411,2014-03-31 17:39:19.635,4.043
703429,2014-03-31 17:52:34.815,6.086
703430,2014-03-31 17:52:40.903,8.027000000000001
703431,2014-03-31 17:52:48.930,13.055
703922,2014-04-01 13:00:16.986,3.008
703923,2014-04-01 13:00:19.996,8.025
703924,2014-04-01 13:00:28.023,127.649
703926,2014-04-01 13:02:39.683,2.009
703927,2014-04-01 13:02:41.700,9.027999999999999
703928,2014-04-01 13:02:50.730,61.217
703932,2014-04-01 13:04:02.063,2.145
703933,2014-04-01 13:04:04.219,7.023
703934,2014-04-01 13:04:11.243,13.110999999999999
703947,2014-04-01 13:07:43.114,3.025
703948,2014-04-01 13:07:46.144,9.03
703949,2014-04-01 13:07:55.176,16.06
704071,2014-04-01 17:51:15.339,72.266
704073,2014-04-01 17:52:28.609,4.011
704094,2014-04-01 19:23:58.812,4.008
704095,2014-04-01 19:24:02.822,7.022
704096,2014-04-01 19:24:09.848,45.966
704097,2014-04-01 19:25:10.084,2.432
704098,2014-04-01 19:25:27.664,2.011
704099,2014-04-01 19:25:29.677,1.002
704100,2014-04-01 19:25:30.681,9.036
704101,2014-04-01 19:25:39.721,56.248000000000005
704102,2014-04-01 19:26:35.970,9.035
704103,2014-04-01 19:26:45.009,10.048
704104,2014-04-01 19:26:55.059,3.0069999999999997
704168,2014-04-01 20:28:53.270,4.01
704169,2014-04-01 20:28:57.282,10.113
704170,2014-04-01 20:29:07.400,8.116
704171,2014-04-01 20:29:27.250,1.8259999999999998
704172,2014-04-01 20:30:14.605,4.032
704173,2014-04-01 20:30:18.638,2.053
704174,2014-04-01 20:30:20.693,2.0580000000000003
704253,2014-04-01 22:15:36.214,7.025
704254,2014-04-01 22:15:43.240,9.025
704255,2014-04-01 22:15:52.266,6.021
704256,2014-04-01 22:15:58.289,6.125
704401,2014-04-02 08:55:53.033,6.035
704402,2014-04-02 08:55:59.069,14.099
704403,2014-04-02 08:56:13.170,3.012
704404,2014-04-02 08:56:16.194,1.133
704585,2014-04-02 12:56:58.969,5.149
704586,2014-04-02 12:57:04.119,16.038
704587,2014-04-02 12:57:20.158,8.027999999999999
704646,2014-04-02 14:41:22.684,4.012
704647,2014-04-02 14:41:26.697,9.023
704648,2014-04-02 14:41:35.720,82.366
704650,2014-04-02 14:43:14.226,4.011
704651,2014-04-02 14:43:18.237,6.018
704652,2014-04-02 14:43:24.256,5.018
704654,2014-04-02 14:43:31.286,2.0069999999999997
704759,2014-04-02 20:11:11.484,5.223
704760,2014-04-02 20:11:16.710,10.183
704761,2014-04-02 20:11:26.894,6.017
704762,2014-04-02 20:11:32.921,2.005
704764,2014-04-02 20:11:38.940,58.4
705028,2014-04-03 10:17:45.581,5.0089999999999995
705029,2014-04-03 10:17:50.592,8.023
705030,2014-04-03 10:17:58.615,63.202
706377,2014-04-07 00:01:30.144,7.354
706378,2014-04-07 00:01:37.499,9.141
706379,2014-04-07 00:01:46.644,17.340999999999998
706380,2014-04-07 00:02:03.990,10.22
706382,2014-04-07 00:03:10.355,2.072
706964,2014-04-08 19:22:10.651,4.012
706965,2014-04-08 19:22:14.665,8.022
706966,2014-04-08 19:22:22.690,7.097
708033,2014-04-11 18:31:08.039,22.090999999999998
708036,2014-04-11 18:31:32.145,23.078000000000003
708037,2014-04-11 18:31:55.233,35.1
708038,2014-04-11 18:32:30.335,3.716
708039,2014-04-11 18:58:18.572,7.102
708040,2014-04-11 19:11:30.720,3.0060000000000002
708276,2014-04-13 14:55:48.299,5.012
708277,2014-04-13 14:55:53.312,7.02
708278,2014-04-13 14:56:00.334,30.112
708286,2014-04-13 14:56:51.572,3.05
708287,2014-04-13 14:56:54.624,8.135
708288,2014-04-13 14:57:02.760,14.039000000000001
708316,2014-04-13 18:17:21.072,3.008
708317,2014-04-13 18:17:24.081,8.027999999999999
708318,2014-04-13 18:17:32.114,4.0089999999999995
708447,2014-04-14 12:21:06.555,4.0089999999999995
708448,2014-04-14 12:21:10.565,14.04
708449,2014-04-14 12:21:24.607,6.024
708658,2014-04-14 20:20:00.092,4.0089999999999995
708659,2014-04-14 20:20:04.101,22.076999999999998
708660,2014-04-14 20:20:26.180,39.164
708858,2014-04-15 10:51:50.611,4.013
708859,2014-04-15 10:51:54.627,6.016
708860,2014-04-15 10:52:00.644,3.014
709891,2014-04-18 12:03:40.305,4.27
709892,2014-04-18 12:03:44.584,7.017
709893,2014-04-18 12:03:51.601,15.048
709964,2014-04-18 14:36:42.779,15.07
709985,2014-04-18 14:43:06.247,6.03
709986,2014-04-18 14:43:12.279,16.059
709987,2014-04-18 14:43:28.338,55.669
710207,2014-04-19 15:40:56.855,11.248
710208,2014-04-19 15:41:08.105,8.047
710209,2014-04-19 15:41:16.153,7.051
710266,2014-04-19 19:26:38.549,3.0060000000000002
710267,2014-04-19 19:26:41.556,10.03
710268,2014-04-19 19:26:51.586,56.247
710355,2014-04-20 01:12:53.490,4.45
710356,2014-04-20 01:12:58.178,6.156000000000001
710695,2014-04-21 14:28:38.223,14.040999999999999
710696,2014-04-21 14:28:52.266,14.209000000000001
710697,2014-04-21 14:29:06.476,5.016
710870,2014-04-22 09:11:46.421,5.127000000000001
710871,2014-04-22 09:11:51.552,7.026
710872,2014-04-22 09:11:58.579,8.03
711268,2014-04-22 22:01:26.486,4.013999999999999
711269,2014-04-22 22:01:30.503,9.244
711270,2014-04-22 22:01:39.747,5.012
711378,2014-04-23 10:40:58.948,3.011
711379,2014-04-23 10:41:01.960,8.02
711380,2014-04-23 10:41:09.983,7.02
711955,2014-04-24 19:59:27.726,3.0060000000000002
711956,2014-04-24 19:59:30.733,25.073
711957,2014-04-24 19:59:55.806,168.729
711958,2014-04-24 20:02:44.538,9.096
711959,2014-04-24 20:02:53.638,4.033
712255,2014-04-25 12:37:07.846,5.023
712256,2014-04-25 12:37:12.871,8.026
712257,2014-04-25 12:37:20.898,8.022
712475,2014-04-26 10:36:08.306,4.008
712476,2014-04-26 10:36:12.315,8.024
712477,2014-04-26 10:36:20.341,13.219000000000001
712478,2014-04-26 10:36:33.565,2.016
712804,2014-04-28 10:15:12.190,3.008
712805,2014-04-28 10:15:15.198,8.016
712806,2014-04-28 10:15:23.216,5.14
712945,2014-04-28 16:58:45.302,4.011
712946,2014-04-28 16:58:49.319,13.091
712947,2014-04-28 16:59:02.420,63.433
712977,2014-04-28 18:21:02.778,5.01
712978,2014-04-28 18:21:07.789,8.031
712979,2014-04-28 18:21:15.822,355.51300000000003
713382,2014-04-30 12:45:23.598,6.024
713383,2014-04-30 12:45:29.625,7.031000000000001
713384,2014-04-30 12:45:36.657,17.08
713608,2014-04-30 23:58:18.549,6.046
713609,2014-04-30 23:58:24.621,10.033
713610,2014-04-30 23:58:34.658,328.80800000000005
713614,2014-05-01 00:04:18.641,4.033
713615,2014-05-01 00:04:22.696,21.073
713616,2014-05-01 00:04:43.770,73.605
713618,2014-05-01 00:06:00.384,3.009
713619,2014-05-01 00:06:03.394,9.064
713620,2014-05-01 00:06:12.470,326.944
713627,2014-05-01 00:12:23.924,1.004
713628,2014-05-01 00:12:24.930,8.02
713629,2014-05-01 00:12:32.950,89.382
713635,2014-05-01 00:15:33.105,2.004
713636,2014-05-01 00:15:35.111,37.154
713637,2014-05-01 00:16:12.266,117.546
713638,2014-05-01 00:18:09.815,3.013
713720,2014-05-01 12:11:46.124,33.13
713722,2014-05-01 12:12:20.260,3.0069999999999997
713723,2014-05-01 12:12:23.269,7.019
713724,2014-05-01 12:12:30.296,159.539
713725,2014-05-01 12:15:09.842,2.008
