,time,value
1,2014-02-26 13:00:00.000,6.0
2,2014-02-26 15:00:00.000,6.0
3,2014-02-26 18:00:00.000,6.0
4,2014-02-26 21:00:00.000,7.0
5,2014-02-27 09:00:00.000,6.0
6,2014-02-27 12:00:00.000,6.0
7,2014-02-27 15:00:00.000,7.0
8,2014-03-21 09:00:00.000,6.0
9,2014-03-21 11:00:00.000,6.0
10,2014-03-21 15:00:00.000,7.0
11,2014-03-21 19:00:00.000,6.0
12,2014-03-21 21:00:00.000,6.0
13,2014-03-22 08:00:00.000,7.0
14,2014-03-22 12:00:00.000,7.0
15,2014-03-22 15:00:00.000,7.0
16,2014-03-22 18:00:00.000,6.0
17,2014-03-22 21:00:00.000,5.0
18,2014-03-23 10:00:00.000,7.0
19,2014-03-23 12:00:00.000,7.0
20,2014-03-23 15:00:00.000,8.0
21,2014-03-23 19:00:00.000,6.0
22,2014-03-23 21:00:00.000,6.0
23,2014-03-24 09:00:00.000,6.0
24,2014-03-24 12:00:00.000,6.0
25,2014-03-24 15:00:00.000,6.0
26,2014-03-24 18:00:00.000,5.0
27,2014-03-24 21:00:00.000,7.0
28,2014-03-25 09:00:00.000,6.0
29,2014-03-25 15:00:00.000,7.0
30,2014-03-25 20:00:00.000,8.0
31,2014-03-25 21:00:00.000,6.0
32,2014-03-26 09:00:00.000,7.0
33,2014-03-26 12:00:00.000,6.0
34,2014-03-26 15:00:00.000,7.0
35,2014-03-26 18:00:00.000,6.0
36,2014-03-26 21:00:00.000,7.0
37,2014-03-27 09:00:00.000,7.0
38,2014-03-27 14:00:00.000,7.0
39,2014-03-27 15:00:00.000,7.0
40,2014-03-27 17:00:00.000,7.0
41,2014-03-27 23:00:00.000,7.0
42,2014-03-28 10:00:00.000,5.0
43,2014-03-28 12:00:00.000,6.0
44,2014-03-28 15:00:00.000,8.0
45,2014-03-28 18:00:00.000,6.0
46,2014-03-28 21:00:00.000,7.0
47,2014-03-29 10:00:00.000,8.0
48,2014-03-29 11:00:00.000,8.0
49,2014-03-29 16:00:00.000,9.0
50,2014-03-29 18:00:00.000,8.0
51,2014-03-29 21:00:00.000,7.0
52,2014-03-30 11:00:00.000,8.0
53,2014-03-30 12:00:00.000,7.0
54,2014-03-30 15:00:00.000,8.0
55,2014-03-30 21:00:00.000,7.0
56,2014-03-31 09:00:00.000,7.0
57,2014-03-31 12:00:00.000,7.0
58,2014-03-31 15:00:00.000,7.0
59,2014-03-31 18:00:00.000,8.0
60,2014-03-31 21:00:00.000,8.0
61,2014-04-01 09:00:00.000,7.0
62,2014-04-01 12:00:00.000,7.0
63,2014-04-01 15:00:00.000,6.0
64,2014-04-01 17:00:00.000,5.0
65,2014-04-01 21:00:00.000,5.0
66,2014-04-02 09:00:00.000,6.0
67,2014-04-02 15:00:00.000,7.0
68,2014-04-02 18:00:00.000,6.0
69,2014-04-02 21:00:00.000,7.0
70,2014-04-03 09:00:00.000,7.0
71,2014-04-03 12:00:00.000,6.0
72,2014-04-03 15:00:00.000,7.0
73,2014-04-03 18:00:00.000,6.0
74,2014-04-03 21:00:00.000,6.0
75,2014-04-04 10:00:00.000,6.0
76,2014-04-04 13:00:00.000,6.0
77,2014-04-04 15:00:00.000,6.0
78,2014-04-04 18:00:00.000,6.0
79,2014-04-04 21:00:00.000,7.0
80,2014-04-05 10:00:00.000,6.0
81,2014-04-05 12:00:00.000,8.0
82,2014-04-05 14:00:00.000,7.0
83,2014-04-05 18:00:00.000,6.0
84,2014-04-05 21:00:00.000,7.0
85,2014-04-06 13:00:00.000,6.0
86,2014-04-06 16:00:00.000,7.0
87,2014-04-06 18:00:00.000,6.0
88,2014-04-06 21:00:00.000,7.0
89,2014-04-07 10:00:00.000,6.0
90,2014-04-07 15:00:00.000,7.0
91,2014-04-07 18:00:00.000,6.0
92,2014-04-07 21:00:00.000,7.0
93,2014-04-08 09:00:00.000,7.0
94,2014-04-08 12:00:00.000,7.0
95,2014-04-08 14:00:00.000,7.0
96,2014-04-08 18:00:00.000,7.0
97,2014-04-08 20:00:00.000,5.0
98,2014-04-09 09:00:00.000,7.0
99,2014-04-09 12:00:00.000,8.0
100,2014-04-09 15:00:00.000,8.0
101,2014-04-09 18:00:00.000,7.0
102,2014-04-09 21:00:00.000,7.0
103,2014-04-10 11:00:00.000,6.0
104,2014-04-10 12:00:00.000,7.0
105,2014-04-10 15:00:00.000,8.0
106,2014-04-10 19:00:00.000,8.0
107,2014-04-10 23:00:00.000,8.0
108,2014-04-11 09:00:00.000,7.0
109,2014-04-11 12:00:00.000,7.0
110,2014-04-11 15:00:00.000,7.0
111,2014-04-11 18:00:00.000,8.0
112,2014-04-11 22:00:00.000,6.0
113,2014-04-12 09:00:00.000,7.0
114,2014-04-12 12:00:00.000,6.0
115,2014-04-12 16:00:00.000,8.0
116,2014-04-12 21:00:00.000,8.0
117,2014-04-13 10:00:00.000,8.0
118,2014-04-13 12:00:00.000,8.0
119,2014-04-13 16:00:00.000,8.0
120,2014-04-13 22:00:00.000,8.0
121,2014-04-14 09:00:00.000,6.0
122,2014-04-14 12:00:00.000,8.0
123,2014-04-14 14:00:00.000,7.0
124,2014-04-14 18:00:00.000,7.0
125,2014-04-14 21:00:00.000,8.0
126,2014-04-15 08:00:00.000,7.0
127,2014-04-15 13:00:00.000,7.0
128,2014-04-15 15:00:00.000,7.0
129,2014-04-15 19:00:00.000,7.0
130,2014-04-15 21:00:00.000,4.0
131,2014-04-16 08:00:00.000,7.0
132,2014-04-16 12:00:00.000,8.0
133,2014-04-16 14:00:00.000,7.0
134,2014-04-16 18:00:00.000,7.0
135,2014-04-16 21:00:00.000,7.0
136,2014-04-17 11:00:00.000,7.0
137,2014-04-17 11:00:00.000,6.0
138,2014-04-17 15:00:00.000,7.0
139,2014-04-17 18:00:00.000,6.0
140,2014-04-17 21:00:00.000,7.0
141,2014-04-18 11:00:00.000,6.0
142,2014-04-18 12:00:00.000,7.0
143,2014-04-18 15:00:00.000,7.0
144,2014-04-18 18:00:00.000,7.0
145,2014-04-18 23:00:00.000,7.0
146,2014-04-19 09:00:00.000,7.0
147,2014-04-19 12:00:00.000,8.0
148,2014-04-19 15:00:00.000,8.0
149,2014-04-19 18:00:00.000,8.0
150,2014-04-19 21:00:00.000,8.0
151,2014-04-20 12:00:00.000,8.0
152,2014-04-20 15:00:00.000,7.0
153,2014-04-20 17:00:00.000,7.0
154,2014-04-20 21:00:00.000,7.0
155,2014-04-21 11:00:00.000,8.0
156,2014-04-21 13:00:00.000,7.0
157,2014-04-21 15:00:00.000,7.0
158,2014-04-21 18:00:00.000,8.0
159,2014-04-21 21:00:00.000,8.0
160,2014-04-22 08:00:00.000,8.0
161,2014-04-22 12:00:00.000,7.0
162,2014-04-22 14:00:00.000,7.0
163,2014-04-22 18:00:00.000,8.0
164,2014-04-22 20:00:00.000,7.0
165,2014-04-23 10:00:00.000,7.0
166,2014-04-23 11:00:00.000,7.0
167,2014-04-23 15:00:00.000,8.0
168,2014-04-23 18:00:00.000,8.0
169,2014-04-23 21:00:00.000,8.0
170,2014-04-24 11:00:00.000,7.0
171,2014-04-24 12:00:00.000,8.0
172,2014-04-24 14:00:00.000,8.0
173,2014-04-24 18:00:00.000,7.0
174,2014-04-24 21:00:00.000,8.0
175,2014-04-25 09:00:00.000,6.0
176,2014-04-25 11:00:00.000,8.0
177,2014-04-25 15:00:00.000,7.0
178,2014-04-25 18:00:00.000,7.0
179,2014-04-25 22:00:00.000,8.0
180,2014-04-26 09:00:00.000,7.0
181,2014-04-26 13:00:00.000,8.0
182,2014-04-26 15:00:00.000,7.0
183,2014-04-26 19:00:00.000,8.0
184,2014-04-26 23:00:00.000,8.0
185,2014-04-27 10:00:00.000,7.0
186,2014-04-27 12:00:00.000,7.0
187,2014-04-27 15:00:00.000,8.0
188,2014-04-27 20:00:00.000,8.0
189,2014-04-28 10:00:00.000,8.0
190,2014-04-28 12:00:00.000,8.0
191,2014-04-28 15:00:00.000,7.0
192,2014-04-28 18:00:00.000,8.0
193,2014-04-28 22:00:00.000,7.0
194,2014-04-29 09:00:00.000,6.0
195,2014-04-29 12:00:00.000,6.0
196,2014-04-29 15:00:00.000,7.0
197,2014-04-29 18:00:00.000,8.0
198,2014-04-29 21:00:00.000,8.0
199,2014-04-30 09:00:00.000,8.0
200,2014-04-30 12:00:00.000,7.0
201,2014-04-30 17:00:00.000,8.0
202,2014-04-30 18:00:00.000,8.0
203,2014-04-30 21:00:00.000,8.0
204,2014-05-01 11:00:00.000,8.0
205,2014-05-01 12:00:00.000,8.0
206,2014-05-01 16:00:00.000,8.0
207,2014-05-01 17:00:00.000,8.0
208,2014-05-01 20:00:00.000,8.0
209,2014-05-02 11:00:00.000,7.0
210,2014-05-02 12:00:00.000,8.0
