,time,value
1415078,2014-03-14 09:43:22.739,55.026
1415079,2014-03-14 09:44:27.591,5.162999999999999
1415081,2014-03-14 09:44:44.983,58.861999999999995
1415082,2014-03-14 09:46:37.908,36.486
1415083,2014-03-14 09:48:00.868,3.025
1415091,2014-03-14 09:50:46.016,30.198
1415092,2014-03-14 09:51:17.105,0.8240000000000001
1415093,2014-03-14 09:51:18.473,31.439
1415094,2014-03-14 09:52:41.963,2.064
1415554,2014-03-16 13:35:48.569,30.171999999999997
1415555,2014-03-16 13:36:29.357,12.472999999999999
1415556,2014-03-16 13:37:21.802,9.658999999999999
1415557,2014-03-16 13:43:11.746,9.902000000000001
1415558,2014-03-16 13:44:49.088,52.281000000000006
1415559,2014-03-16 13:47:03.983,31.112
1415560,2014-03-16 13:50:05.117,30.689
1415561,2014-03-16 13:50:39.436,30.873
1415562,2014-03-16 13:51:13.009,28.811999999999998
1415563,2014-03-16 13:55:24.973,47.559
1415565,2014-03-16 13:57:49.578,5.614
1415566,2014-03-16 13:58:02.969,2.577
1415573,2014-03-16 14:02:04.948,7.044
1415575,2014-03-16 14:03:08.230,27.052
1415585,2014-03-16 15:50:03.181,18.19
1415606,2014-03-16 18:06:52.046,30.135
1415637,2014-03-16 21:15:46.427,25.445
1415638,2014-03-16 21:29:59.440,5.462999999999999
1415639,2014-03-16 21:30:22.618,3.054
1415699,2014-03-17 09:34:01.663,16.168
1415765,2014-03-17 12:58:12.927,8.135
1415843,2014-03-17 18:08:45.516,16.098
1415902,2014-03-17 21:41:50.444,11.415999999999999
1415906,2014-03-17 21:51:09.966,30.009
1415907,2014-03-17 21:58:58.835,10.023
1415908,2014-03-17 21:59:23.680,3.07
1415909,2014-03-17 22:24:56.595,8.78
1415994,2014-03-18 09:12:32.118,23.603
1416050,2014-03-18 12:11:13.877,19.57
1416129,2014-03-18 15:34:44.726,12.187999999999999
1416202,2014-03-18 20:35:00.595,25.160999999999998
1416209,2014-03-18 22:08:34.144,8.2
1416245,2014-03-19 09:17:28.394,16.173
1416252,2014-03-19 12:01:52.617,27.891
1416253,2014-03-19 12:17:31.698,2.005
1416320,2014-03-19 15:31:26.457,19.277
1416411,2014-03-19 20:12:18.766,24.259
1416470,2014-03-19 23:17:33.927,15.931
1416545,2014-03-20 09:27:46.007,11.004000000000001
1416607,2014-03-20 17:11:55.000,26.568
1416608,2014-03-20 17:12:23.269,3.02
1416610,2014-03-20 17:12:28.358,8.697000000000001
1416611,2014-03-20 17:13:57.676,9.842
1416612,2014-03-20 17:17:18.739,4.046
1416649,2014-03-20 18:16:22.322,15.543
1416689,2014-03-20 21:40:28.071,8.137
1416789,2014-03-21 12:59:32.186,6.055
1416830,2014-03-21 15:19:16.737,9.151
1416927,2014-03-21 18:13:21.908,10.662
1416986,2014-03-21 22:16:12.647,12.075999999999999
1417175,2014-03-22 10:13:48.141,1.003
1417230,2014-03-22 15:00:00.628,13.832
1417353,2014-03-22 20:14:03.140,16.14
1417392,2014-03-22 21:52:50.938,12.229000000000001
1417452,2014-03-23 09:29:26.448,10.251
1417507,2014-03-23 13:14:39.698,9.561
1417538,2014-03-23 14:57:28.180,34.321999999999996
1417670,2014-03-23 23:20:27.421,7.731
1417698,2014-03-24 10:00:07.851,10.345999999999998
1417704,2014-03-24 12:46:35.207,11.026
1417738,2014-03-24 15:02:42.400,28.171
1417768,2014-03-24 18:14:14.145,22.122
1417826,2014-03-24 22:27:51.002,10.142999999999999
1417871,2014-03-25 09:46:12.562,15.092
1417915,2014-03-25 12:35:37.596,7.058
1418075,2014-03-25 21:47:20.585,7.056
1418079,2014-03-25 21:47:30.852,7.105
1418101,2014-03-25 22:58:41.686,14.064
1418149,2014-03-26 09:24:24.799,9.366
1418202,2014-03-26 12:40:15.039,8.222000000000001
1418270,2014-03-26 17:29:29.697,8.033
1418281,2014-03-26 18:35:06.628,9.236
1418316,2014-03-26 21:26:53.637,7.093
1418418,2014-03-27 09:53:29.566,7.018
1418445,2014-03-27 12:09:29.622,11.034
1418488,2014-03-27 14:50:39.013,11.107000000000001
1418563,2014-03-27 21:05:04.068,8.023
1418627,2014-03-27 23:35:16.085,242.331
1418630,2014-03-27 23:39:43.838,168.27900000000002
1418631,2014-03-27 23:50:17.168,79.76899999999999
1418632,2014-03-27 23:51:56.759,9.847999999999999
