,time,value
489513,2014-03-21 15:16:19.102,1.02
489516,2014-03-21 15:55:57.769,0.976
489517,2014-03-21 16:03:16.694,4.027
489520,2014-03-21 16:04:32.673,107.376
489521,2014-03-21 16:14:43.878,95.323
489526,2014-03-21 16:32:03.750,71.27600000000001
489527,2014-03-21 16:50:39.953,6.12
489530,2014-03-21 17:11:53.604,1.012
489532,2014-03-21 17:11:56.687,2.046
489533,2014-03-21 17:11:58.762,8.31
489536,2014-03-21 17:38:32.095,0.327
489537,2014-03-21 17:42:53.907,9.379
489539,2014-03-21 17:43:11.453,1.227
489540,2014-03-21 18:11:44.831,5.061
489549,2014-03-21 18:52:52.959,5.071000000000001
489552,2014-03-21 18:53:26.213,140.905
489553,2014-03-21 19:05:21.355,1.112
489554,2014-03-21 19:05:22.477,387.12300000000005
489555,2014-03-21 19:17:01.395,3.016
489556,2014-03-21 19:17:04.437,1.003
489559,2014-03-21 19:24:27.203,1.025
489566,2014-03-21 19:51:24.913,2.008
489567,2014-03-21 19:51:26.927,60.571000000000005
489568,2014-03-21 19:52:30.704,8.237
489569,2014-03-21 19:52:40.464,6.3389999999999995
489570,2014-03-21 20:36:59.959,6.165
489572,2014-03-21 20:39:00.844,1.002
489581,2014-03-21 21:09:14.766,0.816
489582,2014-03-21 21:14:11.170,7.127000000000001
489597,2014-03-21 23:57:12.279,1.0170000000000001
489603,2014-03-22 00:12:16.309,0.774
489604,2014-03-22 00:27:16.875,1.285
489605,2014-03-22 00:27:18.448,6.356
489606,2014-03-22 00:33:05.032,3.013
489608,2014-03-22 00:33:12.611,1.025
489609,2014-03-22 00:33:13.640,2246.051
489610,2014-03-22 02:03:20.808,1.6469999999999998
489611,2014-03-22 02:09:02.404,0.862
489612,2014-03-22 10:09:40.664,12.097999999999999
489620,2014-03-22 11:17:35.910,1.161
489623,2014-03-22 11:23:22.259,3.036
489624,2014-03-22 11:23:25.309,303.624
489625,2014-03-22 11:28:28.944,2.0340000000000003
489628,2014-03-22 11:32:27.209,6.035
489629,2014-03-22 11:32:33.250,116.214
489630,2014-03-22 11:34:44.966,128.934
489631,2014-03-22 11:48:41.270,1.127
489632,2014-03-22 11:49:15.950,11.173
489633,2014-03-22 11:49:27.128,1.002
489635,2014-03-22 11:49:29.147,1.002
489640,2014-03-22 12:18:56.773,5.016
489644,2014-03-22 12:19:31.668,0.779
489645,2014-03-22 12:21:11.039,2.099
489648,2014-03-22 12:31:44.221,1.0090000000000001
489650,2014-03-22 12:31:48.842,12.599
489659,2014-03-22 12:55:52.762,6.0520000000000005
489661,2014-03-22 12:56:38.404,1.6119999999999999
489662,2014-03-22 13:24:43.065,1.345
489663,2014-03-22 13:40:14.898,0.917
489664,2014-03-22 13:45:25.864,1.348
489665,2014-03-22 14:13:47.825,6.053
489670,2014-03-22 14:21:01.348,2.013
489671,2014-03-22 14:21:03.368,207.763
489672,2014-03-22 14:31:45.963,0.894
489673,2014-03-22 15:12:15.871,12.663
489676,2014-03-22 15:45:34.098,2.04
489680,2014-03-22 15:47:17.645,1.581
489681,2014-03-22 16:37:21.982,3.2230000000000003
489691,2014-03-22 18:15:50.079,0.027999999999999997
489692,2014-03-22 18:38:11.055,0.823
489693,2014-03-22 19:35:19.076,1.112
489694,2014-03-22 19:53:52.832,5.172000000000001
489696,2014-03-22 19:54:01.085,14.077
489703,2014-03-22 19:58:32.311,2.395
489704,2014-03-22 20:03:03.069,1.051
489705,2014-03-22 20:33:54.848,0.875
489706,2014-03-22 20:44:41.914,0.851
489707,2014-03-22 20:49:46.392,1.012
489708,2014-03-22 20:50:27.770,204.99599999999998
489709,2014-03-22 20:53:52.772,271.591
489710,2014-03-22 20:58:24.365,223.52
489711,2014-03-22 21:02:07.993,4.04
489712,2014-03-22 21:41:53.500,1.2919999999999998
489713,2014-03-22 21:41:55.401,11.606
489716,2014-03-22 21:42:37.841,1.038
489720,2014-03-22 21:44:41.739,1.003
489723,2014-03-22 21:44:51.197,0.606
489724,2014-03-22 22:16:22.346,3.2460000000000004
489727,2014-03-22 22:24:44.174,1.004
489729,2014-03-22 22:25:06.372,0.6
489730,2014-03-22 22:30:56.229,12.318
489735,2014-03-22 22:31:56.874,1.2590000000000001
