,time,value
399812,2014-03-24 17:57:06.125,2.0140000000000002
399831,2014-03-24 17:58:29.663,9.187000000000001
400151,2014-03-24 18:45:42.624,28.279
400521,2014-03-24 21:01:19.739,4.015
401021,2014-03-25 00:11:29.575,5.027
403431,2014-03-25 21:57:27.023,108.851
403441,2014-03-25 22:10:14.341,3.009
405151,2014-03-26 12:04:59.342,2.006
405171,2014-03-26 12:05:04.378,5.024
405271,2014-03-26 12:20:09.259,2.099
405811,2014-03-26 16:14:54.898,3.015
405823,2014-03-26 16:14:57.914,127.51700000000001
406051,2014-03-26 16:31:21.082,4.043
406831,2014-03-26 17:29:48.259,52.596000000000004
406891,2014-03-26 17:56:46.140,5.0680000000000005
406931,2014-03-26 17:57:05.380,5.038
407023,2014-03-26 18:00:11.220,6.106
408431,2014-03-27 08:16:19.257,14.173
408511,2014-03-27 08:19:36.803,2.023
408661,2014-03-27 09:44:01.989,2.01
410002,2014-03-27 18:55:30.298,62.872
410431,2014-03-27 19:53:08.174,2.005
410441,2014-03-27 19:53:10.180,433.577
410951,2014-03-27 21:42:05.157,7.0360000000000005
411821,2014-03-28 11:19:17.469,6.019
412331,2014-03-28 14:18:21.006,5.055
412661,2014-03-28 16:22:55.023,14.077
412671,2014-03-28 16:23:11.878,1.005
413881,2014-03-28 19:35:33.582,16.155
414961,2014-03-29 09:56:03.539,1.002
415631,2014-03-29 16:51:27.786,3.055
415712,2014-03-29 17:24:48.982,28.354
416951,2014-03-30 11:00:42.865,66.609
416961,2014-03-30 11:05:50.900,6.05
416972,2014-03-30 11:05:56.953,2.03
416981,2014-03-30 11:07:58.470,2.199
416991,2014-03-30 11:17:59.711,10.088
417021,2014-03-30 11:29:58.450,100.046
417272,2014-03-30 12:10:23.755,132.107
417281,2014-03-30 12:13:47.829,1.0090000000000001
417311,2014-03-30 12:13:52.882,8.045
417321,2014-03-30 12:14:00.930,4.0489999999999995
417331,2014-03-30 12:14:04.980,192.325
417371,2014-03-30 12:55:09.786,124.458
417391,2014-03-30 12:57:17.303,10.037
417461,2014-03-30 13:01:46.806,3.009
417471,2014-03-30 13:01:49.818,4.016
417481,2014-03-30 13:01:53.849,94.76700000000001
417541,2014-03-30 13:24:20.789,4.046
417641,2014-03-30 15:09:09.713,9.031
417891,2014-03-30 16:14:07.493,2.005
417921,2014-03-30 16:15:56.119,4.4319999999999995
417932,2014-03-30 16:17:57.329,14.078
418001,2014-03-30 16:29:18.986,4.013999999999999
418021,2014-03-30 16:29:32.164,23.131999999999998
418031,2014-03-30 16:29:55.301,2.015
418071,2014-03-30 16:32:05.187,9.385
418111,2014-03-30 16:32:23.641,1.0070000000000001
418163,2014-03-30 16:52:01.177,1.011
418241,2014-03-30 17:04:36.917,55.328
418342,2014-03-30 17:50:48.964,572.635
418491,2014-03-30 20:28:42.940,2.004
418511,2014-03-30 20:28:45.960,14.289000000000001
418521,2014-03-30 20:29:00.255,68.973
418761,2014-03-30 22:28:53.428,151.533
418773,2014-03-30 22:33:17.368,60.806000000000004
418783,2014-03-30 22:41:45.579,12.081
418793,2014-03-30 22:52:04.477,6.267
418802,2014-03-30 22:52:10.750,71.85300000000001
418811,2014-03-30 23:03:45.841,1.25
418823,2014-03-30 23:09:16.026,22.645
419061,2014-03-31 06:21:02.664,83.311
419121,2014-03-31 06:28:25.993,32.255
419451,2014-03-31 11:03:39.023,10.177
419591,2014-03-31 11:12:25.029,15.357000000000001
419851,2014-03-31 11:45:23.930,6.035
420161,2014-03-31 14:08:50.164,13.085999999999999
420182,2014-03-31 14:09:09.278,3.088
420191,2014-03-31 14:09:12.411,35.786
420211,2014-03-31 14:09:52.226,8.099
420261,2014-03-31 14:17:02.151,4.5
421441,2014-03-31 20:54:21.473,1802.479
421581,2014-03-31 21:51:58.983,3.022
422341,2014-04-01 10:39:08.358,15.137
422391,2014-04-01 10:44:18.108,9.071
423133,2014-04-01 17:01:10.265,4.048
423141,2014-04-01 17:01:14.313,445.86699999999996
423153,2014-04-01 17:08:40.194,60.302
423161,2014-04-01 17:09:40.503,56.876999999999995
423172,2014-04-01 17:10:37.384,3.012
423261,2014-04-01 17:14:38.282,1.002
423271,2014-04-01 17:14:39.285,673.801
423281,2014-04-01 17:25:53.089,1.003
423601,2014-04-01 19:19:12.496,14.383
423931,2014-04-01 20:46:38.065,19.233
424052,2014-04-01 21:27:32.184,20.359
424225,2014-04-01 22:45:39.650,1.006
424241,2014-04-01 22:45:42.763,7.085
424271,2014-04-01 22:45:56.055,6.1739999999999995
424294,2014-04-01 22:46:08.278,2.0069999999999997
424321,2014-04-01 22:46:22.466,2.008
424341,2014-04-01 22:46:53.539,1.004
424391,2014-04-01 22:48:02.835,4.086
424431,2014-04-01 23:06:43.630,2.01
424511,2014-04-01 23:14:03.492,2.009
424961,2014-04-02 10:32:22.121,20.559
425162,2014-04-02 12:59:52.184,37.476
425202,2014-04-02 13:02:03.170,3.011
425212,2014-04-02 13:02:06.183,198.743
425291,2014-04-02 13:16:59.499,51.394
425361,2014-04-02 13:21:39.770,21.372
425432,2014-04-02 13:26:35.474,22.059
425701,2014-04-02 13:45:39.584,4.047
425711,2014-04-02 13:45:43.641,6.02
425791,2014-04-02 13:55:45.710,8.212
426331,2014-04-02 16:13:03.622,20.564
427911,2014-04-02 21:17:24.545,204.19799999999998
428483,2014-04-03 00:21:24.289,8.093
428861,2014-04-03 11:19:41.292,14.171
429291,2014-04-03 12:50:57.066,1.002
429313,2014-04-03 12:51:00.082,2.006
429641,2014-04-03 15:24:30.240,5.096
429651,2014-04-03 15:24:35.338,31.523000000000003
429661,2014-04-03 15:25:06.865,1.002
429691,2014-04-03 15:25:26.760,358.236
430152,2014-04-03 16:30:20.039,11.161
430191,2014-04-03 16:30:50.490,22.36
430211,2014-04-03 16:32:08.184,1.003
430221,2014-04-03 16:32:09.188,10.128
431121,2014-04-03 20:26:07.470,4.016
431141,2014-04-03 20:26:14.502,6.114
431331,2014-04-03 23:02:31.638,33.329
431881,2014-04-04 08:30:18.132,9.167
432431,2014-04-04 12:11:18.970,5.048
