,time,value
1686625,2014-03-18 23:44:53.480,51.266000000000005
1686627,2014-03-18 23:49:56.134,169.72
1686648,2014-03-19 11:01:11.677,247.21400000000003
1686743,2014-03-19 15:03:29.566,216.517
1686953,2014-03-19 23:05:03.049,2.015
1686954,2014-03-19 23:05:05.068,166.78400000000002
1686958,2014-03-19 23:08:22.246,81.277
1686979,2014-03-19 23:52:30.676,227.85299999999998
1687087,2014-03-20 15:59:40.323,59.339
1687126,2014-03-20 18:55:13.497,199.149
1687129,2014-03-20 18:59:36.023,3.47
1687141,2014-03-20 19:20:15.811,46.724
1687146,2014-03-20 19:23:41.029,10.036
1687164,2014-03-20 21:16:50.490,1.0070000000000001
1687165,2014-03-20 21:16:51.536,75.737
1687166,2014-03-20 21:31:42.407,5.105
1687167,2014-03-20 21:45:11.042,167.907
1687174,2014-03-20 22:05:10.403,34.131
1687177,2014-03-20 22:06:01.667,22.076
1687180,2014-03-20 22:07:34.990,7.074
1687195,2014-03-20 22:19:52.566,61.302
1687198,2014-03-20 22:27:42.826,8.039
1687201,2014-03-20 22:32:56.917,28.107
1687206,2014-03-20 22:35:27.459,221.9
1687233,2014-03-20 23:18:42.286,134.811
1687244,2014-03-21 08:31:17.128,2.0069999999999997
1687245,2014-03-21 08:31:19.279,63.287
1687248,2014-03-21 08:32:35.632,346.119
1687269,2014-03-21 09:36:32.095,2.009
1687270,2014-03-21 09:36:34.147,166.00099999999998
1687271,2014-03-21 09:41:28.581,5.032
1687272,2014-03-21 09:41:47.095,11.182
1687273,2014-03-21 09:44:41.585,71.71300000000001
1687274,2014-03-21 09:46:39.026,230.636
1687275,2014-03-21 09:52:29.668,135.71
1687278,2014-03-21 09:58:11.528,64.25
1687279,2014-03-21 09:59:52.270,5.044
1687280,2014-03-21 10:00:41.937,82.325
1687281,2014-03-21 10:02:36.306,1.082
1687308,2014-03-21 11:29:30.944,10.600999999999999
1687309,2014-03-21 11:45:31.161,25.518
1687383,2014-03-21 15:53:10.147,102.59
1687459,2014-03-21 23:44:01.105,60.263000000000005
1687460,2014-03-21 23:49:38.354,363.667
1687465,2014-03-21 23:55:57.089,110.56
1687468,2014-03-22 00:03:47.953,58.291000000000004
1687533,2014-03-22 13:24:13.460,59.658
1687534,2014-03-22 13:25:13.895,9.033999999999999
1687556,2014-03-22 15:25:55.032,91.397
1687607,2014-03-22 18:07:45.869,162.77200000000002
1687648,2014-03-22 20:47:42.186,60.306999999999995
1687649,2014-03-22 20:49:38.336,193.649
1687673,2014-03-22 22:34:52.642,63.269
1687679,2014-03-22 23:00:27.075,391.414
1687685,2014-03-22 23:25:39.858,53.243
1687687,2014-03-22 23:26:35.119,142.549
1687704,2014-03-23 08:55:18.329,79.75
1687705,2014-03-23 09:18:06.168,81.375
1687766,2014-03-23 11:42:53.854,94.471
1687772,2014-03-23 11:48:04.029,2.005
1687773,2014-03-23 11:48:06.038,25.107
1687849,2014-03-23 14:27:50.005,1.004
1687850,2014-03-23 14:27:51.012,147.96
1687856,2014-03-23 14:39:25.940,1.005
1687857,2014-03-23 14:39:26.950,75.238
1687969,2014-03-23 20:45:59.263,2.0069999999999997
1687970,2014-03-23 20:46:01.275,53.288999999999994
1687980,2014-03-23 21:31:08.575,59.321999999999996
