,time,value
1008556,2014-03-31 21:25:49.661,11.03
1008893,2014-04-01 23:06:49.125,3.766
1010052,2014-04-05 11:40:12.979,4.0089999999999995
1010525,2014-04-07 19:47:21.440,5.09
1010528,2014-04-07 19:47:34.614,9.982000000000001
1010529,2014-04-07 19:47:47.868,93.266
1011091,2014-04-09 15:45:07.720,153.66899999999998
1011096,2014-04-09 15:50:01.378,3.017
1011134,2014-04-09 16:37:08.375,23.127
1011500,2014-04-10 15:04:38.661,5.149
1014562,2014-04-20 11:58:34.256,169.416
1014567,2014-04-20 12:03:18.559,71.187
1014571,2014-04-20 12:04:52.930,153.406
1014705,2014-04-20 16:59:00.036,46.136
1014816,2014-04-20 18:46:54.621,110.26899999999999
1014954,2014-04-21 17:20:49.312,61.195
1017860,2014-05-01 23:46:35.138,79.316
1017862,2014-05-01 23:47:56.471,102.295
