,time,value
1272231,2014-03-21 22:17:10.170,14.064
1272232,2014-03-21 22:17:24.237,6.024
1272233,2014-03-21 22:17:30.290,9.03
1272237,2014-03-21 22:18:15.450,8.036
1272238,2014-03-21 22:18:23.489,12.052
1272911,2014-03-25 15:02:52.982,269.322
1273640,2014-03-28 21:19:45.072,30.121
1274324,2014-04-01 13:50:27.532,38.175
1274348,2014-04-01 14:45:06.214,48.957
1274349,2014-04-01 14:47:18.726,1.038
1274350,2014-04-01 14:47:19.766,291.027
1274397,2014-04-01 16:44:23.288,61.815
1274398,2014-04-01 16:56:49.362,15.057
1274402,2014-04-01 17:05:14.776,10.696
1274403,2014-04-01 17:24:13.796,5.644
1274406,2014-04-01 17:40:37.809,10.469000000000001
1274407,2014-04-01 17:42:25.150,9.078
1274408,2014-04-01 17:42:34.230,287.4
1274409,2014-04-01 17:54:04.895,9.37
1274410,2014-04-01 18:26:54.364,1.004
1274514,2014-04-02 11:58:24.209,108.069
1274515,2014-04-02 12:01:38.970,3.4339999999999997
1274516,2014-04-02 12:02:23.891,55.291000000000004
1274892,2014-04-03 22:50:26.173,36.243
1274999,2014-04-04 17:24:11.904,18.094
1275047,2014-04-04 22:30:29.944,46.961000000000006
1275048,2014-04-04 22:39:02.811,2.004
1275579,2014-04-08 20:50:00.244,567.44
1275580,2014-04-08 20:59:39.413,214.042
1275581,2014-04-08 21:03:27.750,123.536
1275834,2014-04-09 15:00:16.480,13.040999999999999
1275836,2014-04-09 15:01:01.696,52.418
1275838,2014-04-09 15:02:17.509,216.745
1275839,2014-04-09 15:05:55.733,37.204
1275848,2014-04-09 15:07:57.572,13.618
1275849,2014-04-09 15:08:22.131,3.025
1275852,2014-04-09 15:09:11.872,42.151
1276186,2014-04-10 22:49:54.734,51.251999999999995
1277243,2014-04-14 08:16:10.276,148.85
1277565,2014-04-15 14:26:11.349,6.097
1277567,2014-04-15 14:26:31.535,7.029
1277784,2014-04-16 08:03:30.101,41.188
1277831,2014-04-16 09:12:46.624,14.069
1278460,2014-04-20 00:39:29.907,256.297
1279414,2014-04-23 22:48:26.322,31.128
1279787,2014-04-25 16:07:04.999,79.135
1279788,2014-04-25 16:16:55.569,40.695
1279789,2014-04-25 16:29:16.201,221.62900000000002
1279790,2014-04-25 16:33:00.950,4.821000000000001
1279791,2014-04-25 16:34:03.023,6.037000000000001
1280272,2014-04-28 09:13:41.134,13.044
1280277,2014-04-28 09:15:08.848,4.012
1280279,2014-04-28 09:15:39.963,4.166
1280378,2014-04-28 14:52:50.329,39.233000000000004
1280401,2014-04-28 15:31:14.273,85.47399999999999
1280402,2014-04-28 15:32:39.749,110.18700000000001
1280403,2014-04-28 15:36:15.920,3.036
