,time,value
2731086,2014-04-06 15:21:00.687,23.445999999999998
2731087,2014-04-06 15:21:24.782,2.028
2732473,2014-04-14 07:40:22.829,29.346999999999998
2733887,2014-04-21 10:44:43.091,27.023000000000003
2733894,2014-04-21 11:38:44.961,41.63
2733895,2014-04-21 11:39:27.509,8.23
2733909,2014-04-21 12:24:14.796,20.09
2734757,2014-04-25 18:59:28.384,14.695
2734758,2014-04-25 18:59:44.418,16.066
2735100,2014-04-26 13:45:03.313,22.136
2735131,2014-04-26 15:52:06.532,20.482
2735132,2014-04-26 15:54:00.219,9.72
2735133,2014-04-26 15:54:14.049,8.033
2737947,2014-05-09 13:56:20.009,23.144000000000002
2738216,2014-05-10 09:28:21.831,26.104
2738284,2014-05-10 12:22:18.147,20.172
2738319,2014-05-10 12:48:49.270,15.664000000000001
2738322,2014-05-10 12:49:28.490,16.059
2738560,2014-05-11 11:46:10.704,14.642999999999999
2738561,2014-05-11 11:46:28.325,17.035999999999998
2738562,2014-05-11 11:46:46.426,9.066
2738565,2014-05-11 11:47:11.572,22.235
2738566,2014-05-11 11:47:34.418,6.023
2738569,2014-05-11 11:51:18.542,42.187
2738609,2014-05-11 14:04:23.395,15.095
2738610,2014-05-11 14:04:39.880,10.057
2738612,2014-05-11 14:05:09.029,32.773
2738613,2014-05-11 14:05:43.216,15.06
2738614,2014-05-11 14:05:59.476,19.239
2738615,2014-05-11 14:06:20.130,6.044
2738618,2014-05-11 14:06:55.265,34.305
2738619,2014-05-11 14:07:31.209,18.136
2738719,2014-05-11 19:15:43.398,41.458
2738792,2014-05-12 07:25:00.233,31.066999999999997
