,time,value
2274074,2014-04-04 10:46:55.503,11.044
2274625,2014-04-05 15:20:34.226,8.355
2274827,2014-04-06 09:44:29.506,21.088
2275477,2014-04-08 08:54:31.276,19.102999999999998
2277298,2014-04-12 09:24:11.815,50.387
2278174,2014-04-13 21:44:35.673,20.761
2278175,2014-04-13 21:44:57.096,9.293
2279724,2014-04-17 21:03:21.368,21.631999999999998
2280074,2014-04-18 14:33:40.684,9.035
2280275,2014-04-19 09:00:27.869,18.08
2280955,2014-04-21 22:38:44.315,43.577
2281585,2014-04-23 18:57:08.490,16.097
2282569,2014-04-26 15:52:08.039,40.239000000000004
2282694,2014-04-27 10:57:34.801,24.225
2283091,2014-04-30 22:13:41.779,59.238
2283158,2014-05-01 14:05:01.434,3.0260000000000002
2283301,2014-05-01 19:02:08.523,34.804
2283875,2014-05-02 22:05:05.729,84.101
2283927,2014-05-03 08:33:39.394,46.672
2284721,2014-05-05 10:31:37.144,56.426
2284945,2014-05-05 21:21:37.650,27.155
2285252,2014-05-06 19:36:38.523,32.111
2285561,2014-05-07 15:27:14.032,33.676
