,time,value
2083259,2014-04-03 06:09:04.276,51.266000000000005
2083273,2014-04-03 06:56:36.098,112.779
2083276,2014-04-03 07:01:17.006,59.368
2083299,2014-04-03 11:34:26.924,83.661
2083305,2014-04-03 11:37:29.967,12.142999999999999
2083913,2014-04-06 16:25:43.456,95.36200000000001
2084001,2014-04-06 22:35:00.811,148.609
2084077,2014-04-07 13:08:00.121,53.629
2084082,2014-04-07 13:13:40.707,36.468
2084657,2014-04-09 22:32:02.089,85.631
2085025,2014-04-11 20:25:34.451,114.41799999999999
2085280,2014-04-13 22:20:30.394,32.605
2085480,2014-04-14 22:51:06.186,32.21
2085773,2014-04-16 20:13:59.430,51.88399999999999
2085778,2014-04-16 20:59:31.473,31.445
2085803,2014-04-16 21:49:31.099,87.803
2085804,2014-04-16 21:55:54.943,4.151
2085813,2014-04-16 22:29:43.430,68.646
2085873,2014-04-17 14:34:49.944,54.637
2085891,2014-04-17 15:11:45.051,22.333000000000002
2085892,2014-04-17 15:12:08.819,15.615
2085893,2014-04-17 15:13:07.167,34.418
2085896,2014-04-17 15:15:48.404,18.144000000000002
2085897,2014-04-17 15:18:47.197,4.199
2085964,2014-04-18 06:24:34.954,67.119
2085967,2014-04-18 06:25:55.540,33.216
2086307,2014-04-22 06:48:46.964,44.23
2086308,2014-04-22 06:52:35.773,15.905
2086309,2014-04-22 07:10:14.953,9.248
2086435,2014-04-22 22:36:38.779,99.814
2086449,2014-04-23 07:05:42.315,104.02
2086519,2014-04-23 15:26:11.423,30.533
2086521,2014-04-23 15:26:47.013,44.785
2086749,2014-04-24 22:44:44.456,24.266
2086805,2014-04-25 09:18:40.506,19.35
2086838,2014-04-25 11:17:15.092,113.5
2087298,2014-04-28 21:35:47.012,63.353
2087299,2014-04-28 22:31:14.094,7.07
2087460,2014-04-30 16:35:04.855,72.131
2087462,2014-04-30 16:36:21.223,31.359
2087778,2014-05-02 13:06:38.471,32.361
2087891,2014-05-02 23:28:46.788,57.593999999999994
2088490,2014-05-07 07:41:44.039,38.801
2088538,2014-05-07 12:59:54.957,63.81399999999999
2088546,2014-05-07 13:05:41.476,11.078
2088835,2014-05-09 07:39:56.460,45.287
2088836,2014-05-09 08:07:21.661,15.002
2088837,2014-05-09 08:09:24.173,54.746
2088838,2014-05-09 08:43:55.085,4.0760000000000005
2088846,2014-05-09 08:59:14.243,37.489000000000004
2089001,2014-05-09 16:27:51.489,96.50299999999999
2089031,2014-05-09 17:57:13.516,13.206
2089034,2014-05-09 17:57:41.855,17.877
2089035,2014-05-09 17:58:10.200,50.413000000000004
2089036,2014-05-09 18:04:34.894,5.124
2089039,2014-05-09 18:04:47.210,9.168
2089044,2014-05-09 18:10:59.178,5.05
2089051,2014-05-09 18:12:50.953,20.162
2089056,2014-05-09 18:13:27.612,18.907
2089057,2014-05-09 18:13:46.693,46.983999999999995
2089065,2014-05-09 18:16:48.601,8.488999999999999
2089066,2014-05-09 18:23:16.187,4.074
2089068,2014-05-09 18:23:48.612,7.122000000000001
2089074,2014-05-09 18:26:17.678,2.021
2089077,2014-05-09 18:27:27.973,27.163
2089078,2014-05-09 18:30:33.397,24.269000000000002
2089082,2014-05-09 18:31:15.387,16.609
2089087,2014-05-09 18:33:06.704,11.227
2089113,2014-05-09 22:43:21.009,34.699
2089125,2014-05-10 00:04:22.009,36.402
2089131,2014-05-10 00:06:40.240,59.778
2089134,2014-05-10 00:08:42.115,5.045
2089136,2014-05-10 00:08:48.463,18.232
2089138,2014-05-10 00:09:09.786,37.32
2089144,2014-05-10 00:12:11.118,65.62
2089160,2014-05-10 00:31:01.846,63.646
2089249,2014-05-10 15:40:10.427,48.486999999999995
2089263,2014-05-10 16:03:21.638,69.652
2089296,2014-05-10 20:25:28.236,55.45399999999999
2089314,2014-05-10 22:25:21.130,36.646
2089315,2014-05-10 22:31:05.003,8.329
2089316,2014-05-10 22:31:40.904,15.008
2089317,2014-05-10 22:32:22.819,112.885
2089318,2014-05-10 22:36:29.911,6.941
2089319,2014-05-10 22:36:37.382,20.117
2089320,2014-05-10 22:36:59.763,7.017
