,time,value
455673,2014-04-16 13:15:36.703,12.039000000000001
455699,2014-04-16 13:51:38.525,154.648
455701,2014-04-16 13:54:18.198,34.11
455703,2014-04-16 13:54:54.316,4.07
455710,2014-04-16 14:13:05.746,4.157
455714,2014-04-16 14:28:27.973,14.05
455723,2014-04-16 15:13:46.671,6.655
455724,2014-04-16 15:16:28.427,3.008
455750,2014-04-16 15:33:26.678,53.975
455751,2014-04-16 15:34:37.967,9.198
455763,2014-04-16 16:01:00.940,3.0589999999999997
455765,2014-04-16 16:03:42.158,203.995
455771,2014-04-16 16:09:24.265,63.22
455773,2014-04-16 16:10:29.496,11.046
455776,2014-04-16 16:12:57.095,47.553999999999995
455777,2014-04-16 16:13:48.904,2.011
455782,2014-04-16 16:21:14.783,1.008
455787,2014-04-16 16:50:51.842,6.02
455797,2014-04-16 17:12:52.414,9.163
455805,2014-04-16 17:45:20.328,51.672
455811,2014-04-16 17:53:24.401,26.12
455819,2014-04-16 18:53:47.855,86.353
455822,2014-04-16 18:58:19.118,36.271
455828,2014-04-16 19:58:16.438,7.024
455835,2014-04-16 20:12:32.464,60.29600000000001
455852,2014-04-16 21:54:58.427,9.121
455855,2014-04-16 21:55:29.653,75.232
455857,2014-04-16 21:58:33.233,98.387
455868,2014-04-16 23:44:22.536,14.064
455911,2014-04-17 07:17:28.954,71.309
455938,2014-04-17 07:45:48.115,74.445
455942,2014-04-17 07:47:15.963,16.291
455944,2014-04-17 07:47:34.480,50.172
455956,2014-04-17 08:04:32.221,30.173000000000002
455960,2014-04-17 08:09:10.696,29.134
455963,2014-04-17 08:09:56.914,21.083000000000002
455968,2014-04-17 08:11:31.451,10.156
455977,2014-04-17 08:31:44.746,7.164
455984,2014-04-17 08:39:21.385,24.079
455987,2014-04-17 08:39:48.565,6.62
455988,2014-04-17 08:50:17.645,4.01
456029,2014-04-17 11:01:10.398,98.339
456032,2014-04-17 11:05:53.296,24.163
456038,2014-04-17 11:13:33.263,64.342
456039,2014-04-17 11:15:54.326,4.013999999999999
456079,2014-04-17 12:36:25.142,41.248000000000005
456091,2014-04-17 14:57:32.042,19.052
456105,2014-04-17 15:47:50.753,5.577000000000001
456181,2014-04-17 18:22:46.674,64.2
456189,2014-04-17 18:40:33.118,46.104
456190,2014-04-17 18:53:53.168,24.09
456197,2014-04-17 19:05:53.608,38.965
456198,2014-04-17 19:06:32.678,75.40100000000001
456204,2014-04-17 21:14:40.838,5.013999999999999
456240,2014-04-18 09:52:03.581,3.025
456255,2014-04-18 12:13:00.220,10.062000000000001
456258,2014-04-18 12:18:30.259,26.421
456269,2014-04-18 12:25:58.588,73.296
456279,2014-04-18 12:51:43.226,184.704
456346,2014-04-18 15:33:23.954,27.09
456356,2014-04-18 15:47:25.640,32.178000000000004
456358,2014-04-18 15:48:08.869,2.0069999999999997
456364,2014-04-18 15:49:36.401,119.399
456367,2014-04-18 15:54:44.576,170.58700000000002
456371,2014-04-18 15:58:58.497,235.736
456373,2014-04-18 16:03:28.365,142.84
456376,2014-04-18 16:06:39.391,200.639
456378,2014-04-18 16:14:45.308,259.129
456383,2014-04-18 16:21:50.075,43.361000000000004
456386,2014-04-18 16:24:12.898,42.96
456387,2014-04-18 16:25:01.426,3.016
456390,2014-04-18 16:46:28.384,19.067
456395,2014-04-18 16:50:53.746,3.096
456422,2014-04-18 19:59:07.854,82.21799999999999
456423,2014-04-18 20:00:48.028,75.399
456433,2014-04-18 20:52:54.957,9.017999999999999
456436,2014-04-18 21:13:26.224,28.146
456439,2014-04-18 21:17:07.188,16.055999999999997
456440,2014-04-18 21:17:23.256,2.004
456448,2014-04-18 21:45:22.980,22.083000000000002
456469,2014-04-19 02:20:06.473,3.011
456520,2014-04-19 13:41:49.451,11.075999999999999
456529,2014-04-19 14:04:46.351,11.037
456531,2014-04-19 14:05:06.421,7.028
456533,2014-04-19 14:05:35.548,1.025
456534,2014-04-19 14:05:36.585,3228.133
456536,2014-04-19 14:59:48.844,4.677
456537,2014-04-19 15:05:48.993,5.0169999999999995
456547,2014-04-19 15:44:35.865,9.099
456550,2014-04-19 15:45:07.421,6.165
456557,2014-04-19 16:04:14.221,124.47399999999999
456581,2014-04-19 16:52:57.940,64.392
456584,2014-04-19 16:54:36.730,11.036
456625,2014-04-19 19:54:25.944,38.149
456627,2014-04-19 19:55:12.167,1.0070000000000001
456649,2014-04-19 20:50:49.308,30.168000000000003
456650,2014-04-19 20:53:46.055,4.015
456652,2014-04-19 20:53:53.101,88.49799999999999
456653,2014-04-19 20:56:44.137,135.606
456655,2014-04-19 20:59:30.015,5.226
456659,2014-04-19 21:25:10.819,33.187
456665,2014-04-19 21:40:50.155,132.416
456666,2014-04-19 21:43:37.331,4.077
456670,2014-04-19 21:45:42.437,5.136
456684,2014-04-19 22:20:52.638,13.386
456685,2014-04-19 22:22:17.920,6.441
456686,2014-04-19 22:26:02.871,6.017
456691,2014-04-20 00:33:37.627,18.851
456692,2014-04-20 00:34:12.857,4.011
456697,2014-04-20 00:37:42.042,9.04
456701,2014-04-20 00:38:28.361,12.045
456725,2014-04-20 09:51:09.233,641.539
456739,2014-04-20 10:45:07.181,78.319
456763,2014-04-20 12:40:08.056,327.125
456765,2014-04-20 12:45:38.191,5.032
456778,2014-04-20 13:29:24.888,31.095
456783,2014-04-20 14:24:15.328,68.28699999999999
456796,2014-04-20 14:42:26.450,5.02
456806,2014-04-20 14:59:41.788,33.367
456809,2014-04-20 15:00:46.595,3.0060000000000002
456871,2014-04-20 16:40:01.871,5.016
456875,2014-04-20 16:40:44.039,58.262
456882,2014-04-20 18:08:02.421,32.472
456893,2014-04-20 18:11:26.845,14.048
456906,2014-04-20 18:29:54.272,47.32
456918,2014-04-20 18:40:13.671,176.61599999999999
456923,2014-04-20 18:52:19.733,12.054
456928,2014-04-20 18:53:08.214,21.93
456929,2014-04-20 19:03:37.216,4.019
456945,2014-04-20 19:20:15.987,2.153
456986,2014-04-21 01:56:51.193,62.233000000000004
456998,2014-04-21 11:09:04.884,4.012
