,time,value
2556373,2014-04-16 15:17:39.076,7.291
2556374,2014-04-16 15:17:48.505,3.02
2556386,2014-04-16 15:22:33.944,13.254000000000001
2556387,2014-04-16 15:24:42.186,9.679
2556388,2014-04-16 15:24:54.529,12.972999999999999
2556389,2014-04-16 15:29:01.137,14.368
2556390,2014-04-16 15:29:19.203,4.364
2556391,2014-04-16 15:29:52.283,6.692
2556392,2014-04-16 15:31:02.338,4.9830000000000005
2556393,2014-04-16 15:32:00.210,31.179000000000002
2556439,2014-04-16 16:59:58.368,45.06399999999999
2556440,2014-04-16 17:12:36.331,12.065
2556540,2014-04-17 01:16:14.165,7.821000000000001
2556541,2014-04-17 01:16:33.355,1.857
2556542,2014-04-17 02:01:42.519,19.498
2556543,2014-04-17 06:04:05.542,4.651
2556544,2014-04-17 07:09:12.401,4.783
2556545,2014-04-17 07:09:20.342,3.009
2556550,2014-04-17 07:14:48.437,7.065
2556551,2014-04-17 07:16:19.474,6.022
2556569,2014-04-17 07:27:37.171,5.022
2556574,2014-04-17 07:31:39.704,4.1080000000000005
2556597,2014-04-17 08:02:53.388,6.021
2556617,2014-04-17 08:18:52.390,8.383
2556618,2014-04-17 08:19:19.852,4.816
2556619,2014-04-17 08:25:27.940,6.854
2556620,2014-04-17 08:31:10.125,5.507999999999999
2556621,2014-04-17 08:31:34.555,10.187999999999999
2556623,2014-04-17 08:31:51.911,2.073
2556768,2014-04-17 17:00:03.519,4.013999999999999
2556795,2014-04-17 17:28:53.045,5.012
2556803,2014-04-17 17:38:33.625,13.06
2556804,2014-04-17 17:39:34.427,36.97
2556805,2014-04-17 17:43:43.627,4.232
2556807,2014-04-17 17:45:04.217,21.294
2556808,2014-04-17 17:47:37.197,17.524
2556809,2014-04-17 17:50:12.815,3.0069999999999997
2556812,2014-04-17 17:54:20.313,31.342
2556813,2014-04-17 17:56:17.930,10.475999999999999
2556814,2014-04-17 17:59:50.365,4.187
2556819,2014-04-17 18:03:09.648,2.469
2556820,2014-04-17 18:15:14.096,4.096
2556821,2014-04-17 18:21:59.461,6.026
2556823,2014-04-17 18:22:27.566,2.02
2556838,2014-04-17 18:54:58.556,1.002
2556839,2014-04-17 18:54:59.561,9.035
2556945,2014-04-18 14:50:24.779,4.072
2556965,2014-04-18 15:06:31.971,4.007
2556968,2014-04-18 15:09:45.348,2.006
2556970,2014-04-18 15:12:32.631,8.041
2556972,2014-04-18 15:15:20.461,3.008
